# This file includes the efficiency of the whole farm by wind direction.
# Wind direction angle	Farm efficiency
199.000000	90.094340
200.000000	89.736670
201.000000	89.588515
202.000000	91.668152
203.000000	93.002295
204.000000	89.137191
205.000000	84.072631
206.000000	82.937029
207.000000	83.006153
208.000000	83.019461
209.000000	82.973580
210.000000	82.787592
211.000000	87.011794
212.000000	91.359807
213.000000	91.823408
214.000000	92.247436
215.000000	92.307219
216.000000	92.392366
217.000000	91.828732
218.000000	92.059592
219.000000	94.541973
220.000000	95.737002
221.000000	93.536455
222.000000	90.241033
223.000000	85.406728
224.000000	79.695189
225.000000	73.465969
226.000000	69.872548
227.000000	69.875331
228.000000	69.875331
229.000000	69.875331
230.000000	69.875051
231.000000	72.707854
232.000000	78.926325
233.000000	84.738169
234.000000	89.806611
235.000000	93.328425
236.000000	95.897179
237.000000	95.160402
238.000000	92.751253
239.000000	92.285583
240.000000	92.742369
241.000000	92.827845
242.000000	92.729637
243.000000	92.235116
244.000000	92.069820
245.000000	88.151378
246.000000	83.682326
247.000000	83.699239
248.000000	83.726512
249.000000	83.724998
250.000000	83.691383
251.000000	84.355848
252.000000	89.137729
253.000000	93.362736
254.000000	92.809389
255.000000	90.609221
256.000000	90.677282
257.000000	91.053727
258.000000	90.963598
259.000000	90.084108
260.000000	91.035514
261.000000	93.801141
262.000000	94.307852
263.000000	94.193026
264.000000	93.964865
265.000000	95.645601
266.000000	96.264921
267.000000	94.035202
268.000000	91.018728
269.000000	86.098559
270.000000	68.762545
271.000000	47.446876
272.000000	51.400476
273.000000	61.367427
274.000000	57.349043
275.000000	57.349043
276.000000	57.349043
277.000000	57.349043
278.000000	57.349043
279.000000	60.545881
280.000000	47.812978
281.000000	57.381069
282.000000	67.830205
283.000000	85.435263
284.000000	90.372720
285.000000	93.735641
286.000000	96.001811
287.000000	94.819784
288.000000	94.413202
289.000000	94.503816
290.000000	93.992690
291.000000	91.534958
292.000000	90.390497
293.000000	91.452593
294.000000	91.593107
295.000000	91.341802
296.000000	91.093171
297.000000	91.802163
298.000000	89.054351
299.000000	84.880047
300.000000	85.054332
301.000000	85.123991
302.000000	85.108793
303.000000	84.942317
304.000000	86.054085
305.000000	89.672693
306.000000	92.148553
307.000000	93.540013
308.000000	93.303380
309.000000	93.223076
310.000000	93.037990
311.000000	94.174386
312.000000	92.175370
313.000000	40.512682
314.000000	81.980105
315.000000	75.764948
316.000000	72.483363
317.000000	72.494606
318.000000	72.494696
319.000000	72.493642
320.000000	72.479081
321.000000	75.694239
322.000000	81.899643
323.000000	87.166983
324.000000	91.984404
325.000000	93.916154
326.000000	92.620316
327.000000	92.819613
328.000000	92.875810
329.000000	93.123807
330.000000	91.742794
331.000000	89.247813
332.000000	85.515013
333.000000	84.252792
334.000000	84.448675
335.000000	84.472608
336.000000	84.377104
337.000000	84.126439
338.000000	88.379116
339.000000	91.188687
340.000000	90.134128
341.000000	90.406208
342.000000	90.666435
343.000000	90.563223
344.000000	89.315294
345.000000	90.435182
346.000000	92.992279
347.000000	93.340264
348.000000	93.271866
349.000000	93.586886
350.000000	94.472783
351.000000	92.928642
352.000000	89.884595
353.000000	85.081589
354.000000	68.790201
355.000000	57.759105
356.000000	52.422108
357.000000	59.602302
358.000000	55.684353
359.000000	55.684353
